Ben Murphy,Con Kelly,Seni Reilly-Ashiru,Matt D'Arcy,Hugh Cooney,Aitzol Arenzana-King,Tadhg Bird,Mark O'Sullivan
1,5,3,8,4,7,9,1
0,0,1,0,1,1,0,1
1,1,0,1,2,0,2,0
22,31,28,55,37,56,86,6
2,0,2,0,3,3,5,0
1,2,1,5,0,2,2,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
80,20,0,9,2,1,3,1
4,4,0,1,0,0,0,0
0,2,0,0,1,0,1,0
0,0,0,1,0,0,0,0
2,3,6,8,7,2,3,0
0,1,0,0,0,1,1,0
0,0,0,2,0,0,0,0
1,0,4,2,10,3,2,0
0,0,1,0,0,0,0,0
0,0,0,1,1,1,0,0
3,2,3,1,4,2,1,0
1,1,0,0,1,1,0,0
0,1,1,2,1,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0
0,1,2,1,1,0,0,0
1,0,0,0,0,0,0,0
4,3,0,1,1,0,2,0
0,0,0,0,0,0,0,0
0,0,1,1,2,0,1,0
0,0,1,0,0,0,0,0
