Louis O'Reilly,Jack Murphy,Con Kelly,Seni Reilly-Ashiru,Matt D'Arcy,Tadhg Bird,Mark O'Sullivan,Noah Sheridan,Steve Crosbie
2,0,2,4,7,5,4,3,1
2,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0
31,0,6,38,38,17,59,39,8
1,0,0,2,0,0,1,0,0
1,0,0,0,0,0,1,1,0
0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
49,6,3,0,7,2,1,2,2
0,0,1,1,1,1,0,0,0
0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,1,0
4,0,1,2,7,4,2,1,1
0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,2,0
1,3,1,5,3,5,2,5,1
0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0
3,1,3,5,3,6,2,0,1
1,3,0,1,2,4,0,0,0
0,0,0,1,0,1,1,0,0
0,0,0,0,2,1,4,1,0
1,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
1,1,0,1,0,1,2,3,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
