Louis O'Reilly,Sam Owens,Con Kelly,Seni Reilly-Ashiru,Matt D'Arcy,Tadhg Bird,Mark O'Sullivan,Noah Sheridan,Steve Crosbie
2,0,5,4,6,10,7,7,6
0,0,0,0,2,1,0,1,0
0,0,0,0,5,0,0,0,0
27,0,34,26,23,67,74,107,28
1,0,2,0,0,2,0,7,0
1,0,0,0,0,0,2,2,0
0,0,2,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
53,28,33,0,14,2,9,1,3
5,1,2,1,0,0,1,0,1
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,3,8,7,6,1,5,2
2,2,0,2,1,2,1,1,0
0,0,0,1,2,2,1,0,2
0,0,1,2,8,5,3,3,2
0,0,0,2,0,0,0,1,0
0,0,0,0,0,0,0,0,0
1,0,4,3,1,3,0,2,0
1,0,0,0,0,0,0,0,0
0,0,2,1,0,1,0,0,0
1,0,1,0,0,0,2,0,0
0,0,1,2,1,0,2,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,4,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
