Louis O'Reilly,Sam Owens,Con Kelly,Noah Sheridan,Matt D'Arcy,Hugh Cooney,Steve Crosbie,Mark O'Sullivan,Tadhg Bird
1,1,2,4,5,9,1,5,11
0,0,0,0,2,1,0,1,0
0,0,0,0,1,0,0,1,2
10,40,5,48,55,27,1,30,76
0,0,1,2,0,1,0,0,3
0,1,0,1,1,0,0,1,1
0,1,0,0,1,0,0,1,0
0,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0
35,26,18,2,5,1,0,2,2
0,1,4,0,0,0,0,1,0
0,0,0,0,1,1,0,0,3
0,0,0,0,0,0,0,0,2
0,1,1,10,2,4,0,3,3
1,0,0,0,1,0,0,0,0
0,0,0,0,3,0,0,1,1
2,0,1,4,0,3,0,2,3
0,0,0,0,0,0,0,0,0
1,0,0,2,0,2,0,0,0
5,4,4,0,3,5,0,1,0
0,0,3,0,3,1,0,0,0
1,0,1,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0
0,1,0,1,0,4,0,0,0
0,0,0,0,2,0,0,1,0
0,2,0,0,1,0,0,1,0
0,0,0,0,2,0,0,2,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
