Mark O'Sullivan,Angus Lloyd,Con Kelly,Stephen Ryan,Matt D'Arcy,Mike McGiff,Seni Reilly-Ashiru,Noah Sheridan
0,1,5,6,10,3,4,5
0,0,1,0,0,0,0,2
0,1,0,1,0,0,1,0
0,1,17,37,78,7,33,24
0,0,0,0,3,0,0,1
0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
32,47,24,0,11,2,1,0
2,2,0,1,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
1,2,2,7,7,13,4,6
0,0,1,0,0,1,1,0
0,0,0,4,4,1,0,3
1,0,1,1,1,9,4,2
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
1,1,5,3,3,2,1,1
1,1,5,3,3,2,1,1
1,0,2,1,0,1,0,0
1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0
0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0
1,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
