Louis O'Reilly,Sean Finlay,Con Kelly,Noah Sheridan,Peter Maher,Matt D'Arcy,Mike McGiff,Aitzol Arenzana-King,Tadhg Bird
0,1,4,7,6,6,2,7,8
0,0,0,0,0,0,0,0,0
2,0,2,0,0,2,1,0,1
0,4,37,62,109,33,7,115,112
0,0,0,0,4,0,1,2,1
0,0,1,2,5,1,1,2,0
2,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0
40,13,19,3,1,8,4,3,2
5,0,3,0,1,3,0,0,0
1,0,0,0,1,3,0,0,0
0,0,0,0,0,0,0,1,0
1,0,2,3,0,3,4,6,2
0,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,1,0
0,0,0,2,0,2,5,8,1
0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0
3,0,4,0,1,6,1,3,0
3,0,2,0,0,0,0,2,1
1,0,3,1,0,0,1,0,0
0,0,1,1,1,0,0,0,1
3,0,1,0,0,3,1,0,0
0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
3,0,4,0,0,3,1,0,0
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
