Louis O'Reilly,Ben Murphy,Con Kelly,Peter Maher,Matt D'Arcy,Mike McGiff,Aitzol Arenzana-King,Tadhg Bird,Noah Sheridan
1,2,4,4,16,7,5,4,2
0,0,0,0,0,0,2,0,1
1,1,0,0,0,0,1,1,0
1,5,20,52,59,29,39,35,10
0,0,1,1,3,1,2,1,0
0,0,0,2,1,1,1,0,0
0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0
40,54,26,0,6,1,2,4,0
1,0,4,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
2,4,9,6,8,6,7,10,2
0,0,2,0,1,1,0,0,1
0,0,0,0,2,0,0,0,0
0,0,0,2,3,3,4,4,0
0,0,0,0,0,3,0,1,1
2,0,0,1,1,0,0,0,0
0,3,5,2,5,1,4,1,0
1,0,1,0,1,0,0,0,0
0,0,1,0,0,1,1,0,0
0,0,0,1,3,0,1,1,0
0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
1,0,7,0,2,0,0,1,0
0,0,0,0,0,0,0,0,0
0,1,0,1,2,0,1,0,0
0,0,0,0,0,0,0,0,0
