Louis O'Reilly,Sean Finlay,Con Kelly,Peter Maher,Matt D'Arcy,Mark O'Sullivan,Aitzol Arenzana-King,Tadhg Bird,Noah Sheridan
3,1,3,7,4,2,4,7,3
2,0,0,1,1,0,0,0,0
0,0,1,0,2,2,0,1,0
10,8,13,73,22,35,10,65,36
0,0,1,3,0,1,0,0,1
0,0,0,2,0,2,0,0,1
1,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
47,14,17,0,12,6,2,3,2
4,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
1,1,3,2,6,2,3,3,1
1,0,0,2,1,1,0,1,0
0,0,0,0,3,1,0,1,1
0,1,1,3,4,5,2,8,0
0,0,0,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0
3,0,3,2,2,0,6,2,3
0,0,0,1,0,0,1,0,0
1,0,0,1,1,1,3,1,0
0,0,2,1,3,1,0,0,0
0,0,1,1,2,0,1,1,0
0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1
0,1,0,1,2,1,1,1,0
0,0,1,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0
