Ben Murphy,Louis O'Reilly,Con Kelly,Jack Murphy,Peter Maher,Mark O'Sullivan,Matt D'Arcy,Tadhg Bird,Aitzol Arenzana-King,Noah Sheridan
2,1,0,0,2,1,4,8,4,10
0,0,1,0,1,0,2,0,0,1
0,0,0,0,1,0,0,1,0,0
36,11,0,0,46,23,23,45,16,146
0,0,0,0,2,0,0,1,2,4
1,0,0,0,1,1,1,2,0,4
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0
53,16,7,13,0,5,10,4,2,3
0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,2
0,0,1,0,0,0,0,1,0,1
0,2,0,1,1,0,8,6,3,2
0,0,0,0,1,0,2,0,0,0
0,0,0,0,0,0,2,0,0,0
1,0,3,1,5,3,5,7,6,5
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
5,0,4,1,3,1,8,3,6,1
1,0,0,1,1,0,1,1,1,0
0,2,2,0,2,0,1,1,0,0
0,0,2,1,1,0,3,1,0,0
0,1,1,0,0,1,1,0,2,0
1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,3,0
0,0,1,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
