Ben Murphy,Louis O'Reilly,Con Kelly,Jack Murphy,Peter Maher,Mark O'Sullivan,Steve Crosbie,Hugh Cooney,Aitzol Arenzana-King,Tadhg Bird
1,0,5,0,0,0,1,6,5,5
0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1
13,0,31,0,0,0,4,32,30,32
1,0,0,0,0,0,0,3,0,1
1,0,0,0,0,0,0,1,1,1
0,0,0,0,2,2,1,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
40,2,16,0,0,1,2,1,1,0
2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,2,4,3,5,2,3
0,0,0,0,2,0,0,1,0,0
0,0,0,0,0,1,0,0,0,1
2,0,0,0,0,1,1,2,1,1
0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,0,1,3,1,0
0,0,3,0,5,3,4,8,4,3
0,1,3,0,0,1,1,4,2,0
1,0,2,0,0,2,0,2,0,0
1,0,0,0,2,2,0,0,1,1
0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,2,2,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,0,0,0
