Louis O'Reilly,Jack Murphy,Con Kelly,Peter Maher,Matt D'Arcy,Steve Crosbie,Hugh Cooney,Aitzol Arenzana-King,Tadhg Bird
2,0,1,3,4,1,2,3,8
0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,1,0,0
51,0,12,9,24,9,3,22,64
0,0,0,2,1,0,0,1,5
1,0,0,0,2,0,0,1,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0
37,8,2,0,7,0,1,0,3
1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
2,0,0,0,3,2,5,3,2
1,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0
1,2,0,6,4,1,11,6,6
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0
2,2,0,0,3,1,5,2,2
1,2,1,1,0,0,2,1,0
0,0,1,0,0,0,0,1,1
0,2,0,1,6,0,1,2,0
0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,2,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,3,0
0,0,0,0,0,0,0,2,0
