Louis O'Reilly,Con Kelly,Jack Murphy,Peter Maher,Matt D'Arcy,Hugh Cooney,Aitzol Arenzana-King,Tadhg Bird
3,3,0,1,3,5,2,8
1,0,0,0,0,1,0,0
0,1,0,0,1,0,2,0
7,12,0,12,13,22,17,88
0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
50,15,4,0,9,3,1,1
2,3,0,0,0,0,0,0
1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0
1,0,0,3,3,4,4,2
0,0,0,0,4,2,1,1
0,1,0,2,1,0,0,1
0,3,0,5,4,6,5,4
0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0
2,1,1,0,3,4,0,0
0,0,0,0,0,3,0,0
0,1,0,0,1,0,0,0
0,1,2,0,3,0,1,0
1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0
1,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0
