Louis O'Reilly,Con Kelly,Jack Murphy,Seni Reilly-Ashiru,Mark O'Sullivan,Hugh Cooney,Aitzol Arenzana-King,Noah Sheridan
1,1,3,5,8,7,5,4
1,0,0,0,0,0,0,2
1,0,0,1,1,0,1,0
3,2,11,69,36,51,40,24
0,0,1,1,1,2,0,1
0,0,0,3,0,2,0,0
0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
83,15,6,0,2,3,1,4
3,2,0,1,0,0,1,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
3,3,0,4,3,12,2,7
0,0,0,1,1,1,0,1
0,0,1,2,3,0,0,0
1,1,0,2,3,5,3,4
0,0,0,1,2,0,0,0
0,0,0,0,0,4,1,0
4,1,1,2,7,5,3,2
0,3,0,1,1,1,2,0
2,1,0,1,0,0,1,0
0,0,0,1,0,3,2,0
0,0,0,2,1,1,0,0
0,0,0,1,1,0,1,0
2,0,0,0,0,0,1,0
0,1,0,3,1,1,0,0
3,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
