Louis O'Reilly,Sam Owens,Sam Wisniewski,Steve Crosbie,Seni Reilly-Ashiru,Mark O'Sullivan,Tadhg Bird,Stephen Ryan,Noah Sheridan
0,0,4,1,8,6,6,3,10
0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,1,0,1,0
0,0,36,6,50,28,45,47,116
0,0,0,1,1,0,0,0,6
0,0,0,0,1,1,0,1,4
0,0,2,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0
55,0,8,2,1,9,2,0,1
5,0,1,0,0,1,0,0,0
0,0,0,0,1,0,1,0,2
0,0,0,0,0,0,0,0,0
1,0,2,0,3,5,9,2,3
0,0,1,1,0,1,0,0,1
1,0,0,0,0,0,2,1,2
0,0,3,0,4,1,5,2,3
0,0,1,0,0,0,0,0,0
1,0,1,0,1,0,0,1,0
4,0,1,3,1,1,6,5,3
4,0,2,0,0,0,1,2,0
0,0,0,1,1,1,1,0,0
1,0,1,0,0,1,1,1,0
1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,2,0
2,0,2,1,2,1,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
