Ivan Soroka,Darragh Bolger,Dylan Donnellan,Barry Gray,Ben Griffin,Dylan Lynch,Fionn Gilbert,Jim Peters,Paul Deeny,Ruadhan Byron,JJ O'Dea,Tony Ryan
5,0,5,2,8,1,5,4,1,5,4,7
1,0,1,0,0,0,0,0,0,1,1,2
0,0,1,0,2,0,0,0,0,0,0,0
12,0,21,3,21,1,13,9,1,15,9,22
1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,1,0,0
0,0,4,0,0,0,3,0,0,2,2,3
0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
5,1,15,0,2,1,7,19,2,10,13,19
0,0,0,0,0,0,2,1,0,1,1,0
0,1,2,0,5,1,4,2,0,1,2,5
3,0,5,0,4,0,3,7,0,1,3,4
0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,1,0,0,2,0,0,1,6
2,3,7,6,4,2,2,2,2,7,7,13
5,0,3,0,2,0,1,1,2,3,10,2
0,0,0,0,1,0,1,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0,1,0
1,1,6,0,2,1,0,0,3,3,3,2
0,1,1,0,0,0,2,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,2,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,1
0,0,2,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,1,2,0,0,4,1
0,0,0,0,0,0,0,1,0,0,0,0
