Ivan Soroka,Dylan Donnellan,Barry Gray,Ben Griffin,Darragh Bolger,Fionn Gilbert,Josh Murphy,Jim Peters,Ruadhan Byron,JJ O'Dea,Declan Adamson,Tony Ryan
6,5,1,3,0,5,7,0,6,11,0,11
0,1,0,2,0,1,0,0,1,1,0,0
0,0,1,1,0,0,1,0,1,3,0,1
12,28,2,18,0,16,32,0,19,72,0,74
0,1,0,0,0,0,1,0,0,3,0,1
0,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,0,4,0,0,0,6,0,4
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
10,15,2,8,3,20,18,4,8,19,0,21
0,0,0,4,0,3,1,0,0,1,0,1
2,2,0,3,0,3,1,0,0,1,0,2
3,3,0,6,0,6,6,0,3,11,1,9
3,0,0,0,0,4,0,0,0,0,0,0
1,0,0,4,0,1,5,1,1,2,0,1
4,3,0,2,3,2,4,2,3,6,3,1
1,0,2,0,2,6,1,4,3,0,0,2
0,0,1,1,2,1,0,0,1,0,0,0
0,0,0,0,0,1,4,1,0,2,0,2
0,11,1,0,3,1,9,2,1,4,1,2
1,0,1,0,2,2,0,0,0,0,0,0
0,2,0,0,0,0,3,0,1,4,0,0
0,1,1,1,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,3,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,1
