Ivan Soroka,Alex Usanov,Dylan Donnellan,Darragh Bolger,Ben Griffin,Jim Peters,Paul Deeny,Josh Murphy,JJ O'Dea,Richie Whelan,Declan Adamson,Tony Ryan
7,0,5,2,3,2,0,7,3,5,1,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,3,0,3,0,1
14,0,17,5,8,4,0,28,7,17,5,39
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
4,3,13,7,2,12,4,7,3,10,4,19
0,0,0,1,0,0,0,0,0,0,0,2
1,0,4,0,0,0,0,0,1,0,1,1
3,2,5,3,1,1,1,5,4,7,2,6
0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,1,0,1,0,3,2,0,2,2
3,0,3,1,2,2,0,3,6,5,3,5
3,0,3,1,0,1,1,3,6,3,1,3
0,0,0,0,1,1,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1,0,1
2,0,6,2,1,2,0,3,1,3,1,5
0,0,1,0,0,0,0,0,0,1,1,3
0,0,1,1,1,1,0,1,0,1,1,0
0,0,1,0,0,0,0,2,0,2,1,1
0,0,1,0,0,0,0,0,1,0,0,0
0,0,2,0,0,1,0,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0
