Alex Usanov,Ivan Soroka,Dylan Donnellan,Ben Griffin,Darragh Bolger,Fionn Gilbert,Jim Peters,Declan Adamson,Josh Murphy,Richie Whelan,Ruadhan Byron
3,2,9,4,2,5,2,2,2,5,9
0,1,2,1,0,0,3,0,1,2,2
0,0,2,1,1,1,0,0,0,2,2
12,6,32,26,7,24,5,13,4,19,36
0,0,1,2,0,0,0,1,0,0,3
0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,0,3,1,0,1,4,2
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
13,7,17,7,5,22,21,0,16,14,8
0,0,0,1,0,0,0,0,0,0,0
2,0,1,3,0,3,1,0,1,1,0
2,3,5,1,2,9,2,1,6,3,6
1,0,0,2,0,0,1,0,0,1,2
2,2,2,1,0,1,0,3,3,0,1
3,2,6,1,0,8,5,1,4,13,9
0,1,3,1,1,3,3,1,5,3,3
0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,1,1,0,2,1,3,0
1,0,5,0,0,0,0,2,7,1,4
1,0,1,3,5,1,0,0,1,2,0
0,0,1,0,0,1,0,2,7,0,1
0,0,2,1,1,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
