Ivan Soroka,Alex Usanov,Dylan Donnellan,Ben Griffin,Darragh Bolger,Fionn Gilbert,Jim Peters,Paul Deeny,Brian Deeny,Richie Whelan,Declan Adamson,Ruadhan Byron
1,0,5,6,0,1,3,1,7,5,0,9
1,0,0,0,0,1,2,0,0,1,0,0
1,0,0,0,0,1,0,0,1,1,0,1
1,0,20,23,0,5,5,1,15,14,0,51
0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,1,0,0,1,0,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
14,2,8,7,1,12,6,0,16,6,1,8
0,0,2,1,0,6,1,1,0,2,1,2
0,0,3,3,0,4,0,1,2,0,0,2
3,1,3,3,2,5,2,1,5,4,0,2
0,0,0,2,1,2,3,0,0,1,1,1
1,1,1,0,0,1,0,2,4,1,0,0
4,2,7,3,2,9,0,2,10,3,2,1
2,1,3,0,1,0,1,3,3,0,1,4
0,0,0,1,0,0,1,0,1,0,0,1
1,0,0,2,1,0,0,0,2,0,2,3
0,0,8,0,0,0,1,1,4,0,4,1
1,0,0,0,2,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
