Ivan Soroka,Alex Usanov,Dylan Donnellan,Ben Griffin,Darragh Bolger,Fionn Gilbert,Brian Deeny,Josh Murphy,Declan Adamson,Tony Ryan,Ruadhan Byron
8,1,8,7,2,9,7,5,8,13,4
1,0,1,0,1,0,0,0,0,0,0
1,0,0,3,0,0,0,0,1,1,0
12,1,24,24,2,18,30,12,30,42,16
0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,1,2,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
13,3,19,8,3,14,23,24,14,9,2
0,0,2,1,0,6,0,0,1,2,0
2,0,3,2,0,3,2,2,3,2,0
2,0,5,2,0,2,6,8,7,3,0
1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,2,1,2,1,0
3,0,1,4,1,2,6,2,8,8,2
3,0,0,1,0,0,4,3,2,2,0
0,0,0,0,0,1,0,0,0,0,0
2,0,1,1,0,1,1,1,1,1,0
2,0,4,1,1,0,1,3,2,3,1
0,0,0,1,1,1,3,0,1,0,0
0,0,0,0,0,0,2,1,0,0,0
0,0,1,2,0,2,0,0,2,0,0
0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0
