Ivan Soroka,Alex Usanov,Dylan Donnellan,Ben Griffin,Darragh Bolger,Fionn Gilbert,Brian Deeny,Josh Murphy,Declan Adamson,Ruadhan Byron,Tony Ryan
5,1,10,4,1,5,11,10,5,4,8
1,2,1,1,0,2,0,0,0,1,2
0,0,1,0,0,1,0,2,1,0,0
7,2,37,11,2,11,36,26,46,13,21
0,0,0,0,0,0,1,0,0,1,2
0,0,1,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,2,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
1,0,2,2,0,2,2,0,1,1,3
0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0
12,8,17,6,5,17,23,14,12,3,20
0,1,0,0,1,2,0,0,1,1,0
1,0,1,4,0,4,4,2,3,0,2
4,0,4,3,3,4,9,7,7,2,11
1,0,0,1,0,0,0,0,0,1,1
1,1,0,1,0,0,6,4,0,0,3
4,1,10,1,5,7,9,7,3,6,10
2,1,4,4,1,4,7,4,7,2,1
1,0,0,0,0,1,1,0,0,0,0
1,0,3,3,1,2,1,3,1,0,1
0,1,7,0,0,0,2,3,3,1,4
2,0,1,0,0,0,1,0,1,0,0
0,0,0,0,1,0,0,3,0,1,0
0,0,1,0,0,1,0,2,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,0
