Ivan Soroka,Dylan Donnellan,Barry Gray,Ben Griffin,Darragh Bolger,Josh Murphy,Brian Deeny,Fionn Gilbert,Alex Soroka,Declan Adamson,Ruadhan Byron,Tony Ryan
3,10,1,1,2,2,6,2,3,5,1,7
0,1,0,1,0,1,2,1,1,0,0,1
0,0,0,1,0,0,2,1,0,0,0,1
7,48,2,2,6,3,20,3,21,11,7,16
1,0,0,0,0,0,0,0,2,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,3,2,0,0
1,0,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,0,1,0,1,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0
10,5,1,10,1,15,16,3,6,12,1,11
1,0,0,2,0,0,0,2,0,2,0,0
0,3,0,4,0,1,5,0,2,0,0,1
5,3,1,4,1,6,7,2,2,5,0,4
1,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0
4,5,0,1,1,3,3,2,2,2,2,2
2,1,1,4,0,2,7,0,1,2,1,2
0,0,0,1,0,0,1,0,0,0,0,1
0,2,0,2,0,1,0,1,0,0,1,2
0,2,0,1,1,4,0,0,1,1,1,2
0,1,0,1,1,0,0,0,0,1,0,0
0,0,0,0,1,2,0,0,1,0,0,0
0,1,0,1,0,0,3,1,1,0,0,2
0,0,0,0,0,0,0,0,1,0,1,0
1,1,0,1,0,1,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,1
