Louis O'Reilly,Will Reilly,Con Kelly,Andrew Smith,Tadhg Bird,Hugh Cooney,Aitzol Arenzana-King,Noah Sheridan,Mark O'Sullivan
1,2,2,8,5,5,5,0,5
1,0,1,1,0,0,0,1,1
0,1,0,0,1,1,1,0,1
4,9,10,65,16,15,63,0,27
0,0,0,4,0,0,1,0,0
0,0,0,1,1,0,2,0,0
0,0,0,0,0,0,0,0,3
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
48,11,15,1,2,2,1,0,2
2,2,2,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0
1,0,1,5,2,8,4,0,0
0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0
1,0,1,2,2,4,4,0,4
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0
4,1,7,3,5,1,3,0,4
1,0,2,0,2,1,1,0,0
0,0,0,0,0,1,0,0,2
2,1,1,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1
0,1,1,2,2,0,2,0,1
0,0,0,1,0,0,0,1,1
1,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0
