Louis O'Reilly,Will Reilly,Con Kelly,Seni Reilly-Ashiru,Tadhg Bird,Victor Allen,Mark O'Sullivan,Peter Maher,Andrew Smith
3,1,5,8,6,5,1,4,8
0,0,0,1,0,1,0,0,2
0,0,0,2,1,0,2,0,1
21,6,53,80,31,17,13,69,100
0,0,1,5,0,0,0,2,0
1,0,0,3,1,0,0,2,1
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0
56,9,22,0,8,4,1,1,4
2,2,5,0,0,4,0,0,2
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
2,1,2,3,7,5,1,5,5
0,0,0,0,0,1,0,0,0
0,0,0,0,0,2,0,1,0
1,0,1,5,6,2,0,2,5
0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0
2,3,4,4,11,2,0,1,5
1,0,1,0,4,3,0,0,2
0,0,0,0,0,0,2,0,0
2,0,1,0,1,4,1,3,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0
2,1,2,3,0,1,2,1,3
0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0
