Will Reilly,Con Kelly,Seni Reilly-Ashiru,Peter Maher,Tadhg Bird,Victor Allen,Aitzol Arenzana-King,Andrew Smith
4,3,2,1,3,5,1,10
0,4,1,0,0,1,1,0
1,1,1,1,0,0,0,1
37,18,29,10,9,9,3,67
0,0,1,0,0,0,0,1
1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
63,10,0,0,3,5,0,1
2,1,0,0,2,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
1,1,5,0,11,8,3,8
1,0,0,0,0,1,0,1
1,0,0,0,2,1,0,2
0,1,6,0,4,4,1,1
0,0,1,0,0,0,0,0
0,0,2,0,0,0,1,0
3,6,2,0,5,6,4,0
2,4,0,0,2,3,1,0
0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,1,2,1,0,1
1,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0
