Ivan Soroka,Charlie Ward,Dylan Donnellan,Barry Gray,Ben Griffin,Niall Smyth,Fionn Gilbert,Jim Peters,Oran Walsh,Richie Whelan,Aaron Coleman,John Vinson
3,1,4,3,5,1,4,3,1,0,5,14
2,1,1,1,0,1,2,3,2,0,1,2
0,0,2,0,0,0,0,1,1,0,0,1
9,9,8,5,10,3,10,4,1,0,31,71
0,1,0,0,0,0,0,0,0,0,1,2
0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,1,0,2,1,0,0,1,0
0,0,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,2,0,2,1,1,1,2,0
1,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
6,3,12,4,6,15,18,20,10,3,21,6
1,0,0,0,1,0,0,0,1,0,1,0
4,2,0,0,3,4,5,7,4,0,3,1
2,2,0,0,2,1,4,1,3,1,2,1
1,0,0,0,2,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1,0,0
0,1,0,2,3,1,4,7,4,2,2,8
3,1,2,0,1,0,4,2,0,0,4,3
0,0,0,0,0,0,3,0,0,0,0,0
1,0,1,1,1,0,3,0,2,0,2,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0
0,0,1,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
