Ivan Soroka,Charlie Ward,Dylan Donnellan,Barry Gray,Ben Griffin,Niall Smyth,Fionn Gilbert,Jim Peters,Oran Walsh,Callum Smith,Aaron Coleman,John Vinson
1,1,7,2,3,1,4,1,7,2,7,11
3,1,1,0,2,0,2,3,1,0,1,2
0,0,0,0,1,0,2,1,2,0,0,1
0,2,61,6,24,6,8,1,26,3,42,67
0,0,3,0,0,0,0,0,1,0,0,3
0,0,1,0,2,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,1,0,4,2,1,0,2,0
1,0,1,0,2,0,1,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
11,1,13,2,3,6,10,22,8,9,15,6
0,1,0,1,3,0,5,2,0,0,1,3
0,1,4,0,1,1,4,5,2,1,0,3
0,1,0,0,2,3,2,1,1,2,3,7
0,0,0,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0
1,2,5,1,5,5,5,5,6,5,8,9
2,0,4,1,2,1,5,2,0,2,5,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,1,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,1,2,1,0,2
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
