Ivan Soroka,Charlie Ward,Dylan Donnellan,Barry Gray,Niall Smyth,Ben Griffin,Fionn Gilbert,Callum Smith,Jim Peters,Richie Whelan,Aaron Coleman,John Vinson
2,0,4,2,5,2,3,6,0,3,6,14
0,1,0,0,1,1,1,0,0,2,1,3
0,0,1,0,1,0,1,1,0,1,0,0
3,0,11,3,20,15,3,16,0,19,35,57
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,1,0,0,1,2
0,0,0,0,1,0,0,0,0,1,3,0
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
6,5,14,1,8,3,21,13,10,9,21,10
1,1,0,0,0,0,2,2,0,1,1,1
1,2,3,0,0,1,4,1,1,1,0,2
1,1,3,1,6,1,1,2,2,8,4,0
0,0,0,0,0,2,0,0,0,0,1,0
0,1,0,0,0,0,4,0,2,1,1,2
1,1,2,4,1,1,3,3,2,5,2,6
3,2,1,1,1,2,0,2,1,2,6,0
0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,2,5,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,0,1,0,1
0,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,3,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
