Ivan Soroka,Alex Usanov,Dylan Donnellan,Darragh Bolger,Dylan Lynch,Fionn Gilbert,Josh Murphy,Ruadhan Byron,Declan Adamson,JJ O'Dea,Richie Whelan,Tony Ryan
8,0,13,3,2,3,7,7,1,4,0,13
0,0,1,2,0,3,1,0,0,1,0,2
0,0,0,0,0,2,1,1,0,0,0,0
23,0,70,10,5,9,30,27,2,18,0,42
0,0,2,0,0,0,0,0,0,1,0,3
0,0,4,1,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,0,1,1,2,0,1,1,0,2
0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0
13,2,14,8,7,16,17,11,0,12,10,22
3,0,0,0,0,0,0,0,0,2,1,0
2,0,1,0,1,0,1,3,0,1,0,1
2,1,3,7,1,7,5,3,0,4,3,3
1,0,0,3,0,1,0,0,0,1,0,0
1,0,0,0,0,0,5,0,0,3,0,2
3,0,2,0,0,5,5,3,0,4,2,5
2,0,3,1,5,2,1,5,0,5,0,2
1,0,2,0,0,0,1,0,0,0,0,1
0,0,2,0,2,3,2,2,0,1,0,1
0,0,4,1,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0,1,0,1
0,0,2,0,0,1,3,0,0,0,0,2
0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
