Ivan Soroka,Dylan Donnellan,Ben Griffin,Darragh Bolger,Fionn Gilbert,Jim Peters,Paul Deeny,Richie Whelan,Declan Adamson,Kevin Farrington,Tony Ryan
3,8,5,5,6,0,3,5,3,3,13
0,3,1,0,2,0,0,2,0,3,2
0,0,1,1,0,2,0,1,0,0,0
15,52,10,18,15,0,10,16,5,9,52
1,1,0,0,0,0,0,0,0,0,2
1,2,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0
0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,3,0,1,4,2,1,2
0,3,0,0,1,0,0,0,3,0,0
0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0
8,17,12,7,6,7,7,14,7,14,17
2,2,2,0,3,1,4,3,0,2,2
3,2,1,1,1,0,2,1,2,0,2
3,5,5,1,3,3,2,4,3,1,5
1,0,2,2,1,1,5,1,0,0,0
1,1,1,0,1,0,0,0,1,0,0
2,3,1,2,7,6,0,8,4,3,6
0,0,3,0,3,5,3,5,4,0,5
0,1,0,0,1,1,0,1,0,0,0
0,0,2,0,0,0,0,2,2,0,2
1,2,1,0,0,0,0,2,2,0,5
0,1,0,0,1,0,1,1,1,0,0
0,1,0,0,1,0,0,1,0,0,0
1,2,1,1,1,1,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
