Ivan Soroka,Dylan Lynch,Barry Gray,Dylan Donnellan,Ben Griffin,Fionn Gilbert,Jim Peters,Kevin Farrington,JJ O'Dea,Richie Whelan,Josh Murphy,Tony Ryan
2,4,1,7,5,1,1,2,3,2,6,13
0,0,0,3,1,1,3,0,0,1,1,1
0,0,0,1,0,0,1,1,0,2,1,1
2,6,4,17,10,2,1,7,7,3,18,32
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,3,1,1,1,0,0,2,0,3
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1
1,7,0,13,11,6,15,3,3,7,16,13
3,2,0,3,1,2,1,2,0,2,0,1
0,5,0,0,2,7,2,0,0,0,0,3
1,0,0,0,4,0,3,1,0,0,5,2
1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,1,0,2,0
2,6,1,8,2,5,6,2,1,0,8,9
1,1,1,3,4,1,1,3,2,2,2,5
0,0,0,1,4,0,0,1,0,1,0,0
0,1,0,0,0,2,1,1,0,0,1,1
1,0,0,7,1,0,0,1,2,0,2,1
0,0,0,1,1,2,2,1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,2,2,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
