Ivan Soroka,Dylan Donnellan,Barry Gray,Darragh Bolger,Ben Griffin,Fionn Gilbert,Josh Murphy,Jim Peters,Ruadhan Byron,JJ O'Dea,Paddy Finlay,Tony Ryan
5,6,4,2,8,2,8,2,9,4,4,10
0,1,1,0,2,1,0,1,1,1,0,2
1,0,0,1,0,0,1,0,1,0,0,0
13,36,7,3,15,4,33,2,34,24,6,35
0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,1,1,2,0,2,0,1,3
0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1
10,11,7,11,11,14,8,11,7,5,16,22
1,0,0,1,1,6,0,0,2,0,0,0
1,0,0,0,1,5,1,0,2,2,2,2
2,6,2,1,3,5,1,0,1,2,1,7
0,0,0,2,0,0,0,0,0,0,0,0
3,6,0,0,1,0,2,0,0,1,0,1
3,4,0,6,0,3,7,0,4,4,0,10
4,2,0,0,1,1,2,0,3,3,2,8
0,0,0,0,1,0,1,0,1,1,0,0
0,0,0,0,1,0,3,0,1,2,0,1
3,8,0,0,0,1,3,0,1,1,3,2
0,0,0,0,1,1,0,0,0,2,0,0
0,2,0,0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,1,0,1,0,0,0
0,2,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,2,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0
