Ivan Soroka,Dylan Donnellan,Barry Gray,Ben Griffin,Darragh Bolger,Fionn Gilbert,Josh Murphy,Jim Peters,Ruadhan Byron,Declan Adamson,JJ O'Dea,Tony Ryan
1,5,2,3,2,2,5,3,5,0,6,6
1,0,0,0,1,1,0,1,0,0,0,0
1,0,0,1,0,2,1,1,0,0,0,2
0,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,2,0,1,3,1,1,2
0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
6,7,4,8,3,13,15,3,4,5,5,13
0,0,1,1,1,0,1,0,0,1,2,1
0,0,0,2,0,3,1,0,0,0,0,0
1,1,3,1,2,0,3,0,0,3,2,2
0,0,0,0,0,0,0,0,0,1,0,0
2,2,0,0,1,1,1,2,2,0,1,4
6,4,0,1,2,3,3,2,4,0,2,7
0,2,0,1,0,2,1,1,3,0,1,1
1,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,2,0
1,7,1,0,2,1,7,0,1,0,3,4
1,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,2
1,0,1,1,0,1,2,1,0,0,1,3
0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
