Ivan Soroka,Dylan Donnellan,Barry Gray,Ben Griffin,Dylan Lynch,Fionn Gilbert,Josh Murphy,Jim Peters,Ruadhan Byron,Martin Moloney,JJ O'Dea,Tony Ryan
6,8,1,2,3,3,11,1,2,2,5,6
0,2,0,4,0,4,1,0,3,3,3,2
0,0,0,1,0,1,3,0,1,2,0,2
8,36,2,2,4,7,25,2,14,8,9,17
1,2,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,1,2,1,5,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0
14,19,1,6,8,19,24,3,16,23,6,22
3,2,0,3,0,8,1,0,1,0,0,1
4,0,0,3,1,4,2,0,2,1,1,2
2,2,0,2,4,1,0,2,1,5,4,3
0,0,0,2,0,1,0,0,1,0,0,0
2,0,0,0,0,0,1,1,0,1,1,1
3,8,1,3,4,4,4,0,4,4,3,5
1,0,1,1,0,2,1,0,3,1,1,5
0,0,0,1,0,1,1,0,1,0,0,0
0,0,0,3,0,5,0,0,2,0,1,0
2,3,2,1,0,0,2,0,2,4,1,1
1,1,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,1,0,0,0
0,0,0,0,0,1,3,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,1,1,1,0,1,1,2
0,0,0,0,0,0,0,0,0,0,0,1
