Ivan Soroka,Dylan Donnellan,Barry Gray,Ben Griffin,Dylan Lynch,Fionn Gilbert,Jim Peters,JJ O'Dea,Ruadhan Byron,Martin Moloney,Declan Adamson,Tony Ryan
4,7,1,5,2,1,3,5,9,5,1,8
0,2,0,1,2,0,1,0,2,0,0,0
0,1,0,2,0,1,0,0,1,1,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,1,1,2,1,0,5,3,1,1
0,0,0,1,0,1,0,0,2,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
8,14,0,8,1,12,12,6,9,13,2,8
0,0,0,2,0,4,0,1,1,0,1,1
2,3,0,3,1,4,5,0,3,1,2,1
1,0,1,4,0,3,3,1,2,8,0,4
0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,1,1
3,8,1,2,3,0,4,1,5,5,1,4
0,1,0,2,0,3,1,0,2,5,1,1
0,0,0,2,1,0,0,0,1,1,1,2
0,1,1,1,0,3,1,0,1,0,0,3
0,2,0,1,2,2,2,2,1,1,1,0
0,0,0,0,0,0,2,1,0,0,1,0
0,0,0,0,1,0,0,0,4,0,1,0
0,1,0,1,0,1,0,0,1,2,0,0
0,0,0,0,1,1,1,1,0,0,0,0
0,1,0,1,0,0,1,2,0,0,0,3
0,1,0,0,0,0,0,0,0,0,0,1
