Ivan Soroka,Alex Usanov,Dylan Donnellan,Darrah Bolger,Dylan Lynch,Fionn Gilbert,Josh Murphy,Ruadhan Byron,Declan Adams,JJ O'Dea,Tony Ryan
4,0,2,0,1,2,3,2,3,4,6
0,0,0,0,0,1,1,0,1,0,1
0,0,1,0,0,0,1,0,0,1,1
19,0,9,0,3,2,10,45,12,27,23
0,0,1,0,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,1
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
4,1,9,5,2,8,8,2,3,5,9
1,0,0,0,0,2,1,1,0,1,1
2,0,1,3,1,2,0,0,0,0,3
1,1,4,3,1,3,4,2,2,2,4
1,0,0,0,0,1,0,0,0,0,0
2,2,2,0,2,0,6,1,0,0,4
3,1,8,6,1,11,10,1,3,3,6
3,0,2,1,1,4,1,1,4,13,6
0,0,0,1,0,1,1,0,3,0,1
1,0,0,0,1,2,1,1,1,1,2
1,1,7,0,1,0,2,0,2,2,2
0,0,0,2,0,3,0,1,1,1,0
0,0,0,0,0,0,3,0,0,3,1
0,0,1,0,0,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,1,0
0,0,0,0,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1
