Ivan Soroka,Declan Adamson,Barry Gray,Darragh Bolger,Ben Griffin,Fionn Gilbert,Josh Murphy,Ruadhan Byron,Martin Moloney,Richie Whelan,Tony Ryan
5,3,1,2,1,2,6,4,0,2,6
0,0,0,0,1,1,0,0,0,2,0
0,0,0,0,1,0,1,0,0,0,0
11,4,2,3,6,5,14,8,0,12,14
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,2,0,1,0,3,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
9,15,3,5,3,18,5,7,3,5,10
0,2,0,0,0,1,0,1,0,1,0
2,0,0,1,0,0,0,0,0,0,0
2,4,0,1,2,3,5,4,2,3,2
0,0,0,0,0,1,0,0,0,1,0
3,0,0,1,2,1,1,1,1,3,2
1,4,2,2,2,7,6,2,1,3,7
2,1,0,0,1,3,1,3,2,3,3
1,0,1,0,1,0,0,1,0,0,2
1,0,2,0,1,2,3,2,0,2,0
1,2,0,1,0,1,2,1,1,2,1
1,1,0,1,2,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
