player,season,position,cluster
Ben Griffin,22_23,Forward,0
Ben Griffin,23_24,Forward,0
Declan Adamson,22_23,Forward,0
Declan Adamson,23_24,Forward,0
Dylan Lynch,22_23,Forward,0
Fionn Gilbert,22_23,Forward,0
Fionn Gilbert,23_24,Forward,0
Ivan Soroka,22_23,Forward,0
Ivan Soroka,23_24,Forward,0
Jim Peters,22_23,Forward,0
Jim Peters,23_24,Forward,0
Kevin Farrington,22_23,Forward,0
Kevin Farrington,23_24,Forward,0
Martin Moloney,22_23,Forward,0
Martin Moloney,23_24,Forward,0
Paul Deeny,22_23,Forward,0
Paul Deeny,23_24,Forward,0
Richie Whelan,22_23,Forward,0
Richie Whelan,23_24,Forward,0
Ruadhan Byron,22_23,Forward,0
Ruadhan Byron,23_24,Forward,0
Angus Lloyd,23_24,Back,1
Ben Murphy,23_24,Back,1
Con Kelly,23_24,Back,1
Louis O'Reilly,23_24,Back,1
Sam Owens,23_24,Back,1
Alex Soroka,22_23,Forward,2
Alex Soroka,23_24,Forward,2
Aitzol Arenzana-King,23_24,Back,3
Hugh Cooney,23_24,Back,3
Mark O'Sullivan,23_24,Back,3
Matt D'Arcy,23_24,Back,3
Mike McGiff,23_24,Back,3
Noah Sheridan,23_24,Back,3
Peter Maher,23_24,Back,3
Seni Reilly-Ashiru,23_24,Back,3
Tadhg Bird,23_24,Back,3
Jack Murphy,23_24,Back,4
Sam Wisniewski,23_24,Back,4
Sean Finlay,23_24,Back,4
Stephen Ryan,23_24,Back,4
Steve Crosbie,23_24,Back,4
Alex Usanov,22_23,Forward,4
Alex Usanov,23_24,Forward,4
Barry Gray,22_23,Forward,4
Barry Gray,23_24,Forward,4
Darragh Bolger,22_23,Forward,4
Darragh Bolger,23_24,Forward,4
Dylan Lynch,23_24,Forward,4
Paddy Finlay,22_23,Forward,4
Paddy Finlay,23_24,Forward,4
Declan Adams,22_23,Forward,5
Declan Adams,23_24,Forward,5
Darrah Bolger,22_23,Forward,6
Darrah Bolger,23_24,Forward,6
Brian Deeny,22_23,Forward,7
Brian Deeny,23_24,Forward,7
Dylan Donnellan,22_23,Forward,7
Dylan Donnellan,23_24,Forward,7
JJ O'Dea,22_23,Forward,7
JJ O'Dea,23_24,Forward,7
Josh Murphy,22_23,Forward,7
Josh Murphy,23_24,Forward,7
Tony Ryan,22_23,Forward,7
Tony Ryan,23_24,Forward,7
